cycle,state,motion,row,col,heading,compass,compass_ready,gps_x,gps_y,gps_ready,ir0,ir1,ir2,ir3,ground,bumper,l_pow,r_pow,pending_dir,pose_x,pose_y,pose_theta,pose_cov_xx,pose_cov_yy,pose_cov_tt,ir0_filt,ir1_filt,ir2_filt,ir3_filt,trav_in_drive,turn_streak,reloc_delta,event
0,WaitStart,Idle,0,0,East,-3.00,true,0.000,0.000,false,0.50,2.50,2.40,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.40,0.50,-1.000,0,0,
1,WaitStart,Idle,0,0,East,2.00,true,0.000,0.000,false,0.60,2.50,2.30,0.40,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.40,0.50,-1.000,0,0,
2,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.70,2.70,2.40,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.40,0.50,-1.000,0,0,
3,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.50,2.40,2.60,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.40,0.50,-1.000,0,0,
4,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.60,2.30,2.50,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.40,0.50,-1.000,0,0,
5,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.50,2.50,2.50,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.50,-1.000,0,0,
6,WaitStart,Idle,0,0,East,2.00,true,0.000,0.000,false,0.50,2.50,2.30,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.60,-1.000,0,0,
7,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.50,2.30,2.50,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.40,2.50,0.60,-1.000,0,0,
8,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.70,2.70,2.50,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.60,-1.000,0,0,
9,WaitStart,Idle,0,0,East,2.00,true,0.000,0.000,false,0.70,2.40,2.60,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.50,-1.000,0,0,
10,WaitStart,Idle,0,0,East,-4.00,true,0.000,0.000,false,0.60,2.40,2.40,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.40,2.50,0.50,-1.000,0,0,
11,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.60,2.40,2.40,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.40,2.50,0.50,-1.000,0,0,
12,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.60,2.60,2.50,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.40,2.50,0.50,-1.000,0,0,
13,WaitStart,Idle,0,0,East,-3.00,true,0.000,0.000,false,0.50,2.50,2.60,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.40,2.50,0.50,-1.000,0,0,
14,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.50,2.40,2.40,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.40,2.40,0.50,-1.000,0,0,
15,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.50,2.50,2.40,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.40,0.60,-1.000,0,0,
16,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.50,2.60,2.30,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.40,0.60,-1.000,0,0,
17,WaitStart,Idle,0,0,East,-3.00,true,0.000,0.000,false,0.80,2.50,2.60,0.40,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.40,0.60,-1.000,0,0,
18,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.30,2.70,2.50,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.40,0.60,-1.000,0,0,
19,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.70,2.60,2.60,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.60,2.50,0.50,-1.000,0,0,
20,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.60,2.50,2.30,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.60,2.50,0.50,-1.000,0,0,
21,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.40,2.50,2.60,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.60,0.50,-1.000,0,0,
22,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.40,2.30,2.50,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.40,2.50,2.50,0.50,-1.000,0,0,
23,WaitStart,Idle,0,0,East,-5.00,true,0.000,0.000,false,0.60,2.40,2.40,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.50,-1.000,0,0,
24,WaitStart,Idle,0,0,East,-3.00,true,0.000,0.000,false,0.50,2.40,2.60,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.40,2.50,0.50,-1.000,0,0,
25,WaitStart,Idle,0,0,East,2.00,true,0.000,0.000,false,0.60,2.30,2.40,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.40,2.50,0.50,-1.000,0,0,
26,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.70,2.50,2.50,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.40,2.50,0.50,-1.000,0,0,
27,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.50,2.50,2.70,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.40,2.50,0.60,-1.000,0,0,
28,WaitStart,Idle,0,0,East,4.00,true,0.000,0.000,false,0.50,2.50,2.60,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.60,0.60,-1.000,0,0,
29,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.60,2.70,2.50,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
30,WaitStart,Idle,0,0,East,-3.00,true,0.000,0.000,false,0.40,2.50,2.50,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.60,-1.000,0,0,
31,WaitStart,Idle,0,0,East,-5.00,true,0.000,0.000,false,0.60,2.40,2.50,0.30,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.60,-1.000,0,0,
32,WaitStart,Idle,0,0,East,3.00,true,0.000,0.000,false,0.40,2.50,2.40,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.50,-1.000,0,0,
33,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.40,2.40,2.50,0.30,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.40,2.50,2.50,0.50,-1.000,0,0,
34,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.70,2.40,2.60,0.80,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.40,2.40,2.50,0.50,-1.000,0,0,
35,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.40,2.60,2.50,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.40,2.40,2.50,0.50,-1.000,0,0,
